id,date,description,amount,type,category,vendor,risk_level
TXN-0001,2024-02-13,SaaS Revenue #001,10350.59,income,SaaS Revenue,Stripe,low
TXN-0002,2024-05-24,Infrastructure #002,2451.6,expense,Infrastructure,AWS,low
TXN-0003,2024-07-31,Consulting #003,13790.37,income,Consulting,Direct,low
TXN-0004,2024-07-23,SaaS Revenue #004,262472.71,income,SaaS Revenue,Stripe,low
TXN-0005,2024-08-26,Consulting #005,14417.2,income,Consulting,Direct,low
TXN-0006,2024-05-16,Marketing #006,2226.73,expense,Marketing,Meta Ads,low
TXN-0007,2024-03-24,Marketing #007,6780.87,expense,Marketing,Meta Ads,low
TXN-0008,2024-06-02,Consulting #008,2236.28,income,Consulting,Direct,low
TXN-0009,2024-11-20,Infrastructure #009,1456.01,expense,Infrastructure,AWS,low
TXN-0010,2024-10-15,Payroll #010,42666.56,expense,Payroll,Gusto,low
TXN-0011,2024-01-10,Consulting #011,106970.77,income,Consulting,Direct,low
TXN-0012,2024-05-19,Marketing #012,8596.78,expense,Marketing,Meta Ads,medium
TXN-0013,2024-08-14,Marketing #013,11400.22,expense,Marketing,Meta Ads,low
TXN-0014,2024-11-13,License Revenue #014,18483.35,income,License Revenue,Direct,low
TXN-0015,2024-03-22,Operations #015,38162.5,expense,Operations,Various,low
TXN-0016,2024-05-22,Consulting #016,8551.44,income,Consulting,Direct,low
TXN-0017,2024-05-09,Infrastructure #017,23363.75,expense,Infrastructure,AWS,low
TXN-0018,2024-11-15,Marketing #018,989.49,expense,Marketing,Meta Ads,low
TXN-0019,2024-10-12,SaaS Revenue #019,20761.26,income,SaaS Revenue,Stripe,low
TXN-0020,2024-06-17,SaaS Revenue #020,11755.34,income,SaaS Revenue,Stripe,low
TXN-0021,2024-10-13,Payroll #021,10240.24,expense,Payroll,Gusto,low
TXN-0022,2024-05-22,License Revenue #022,8249.71,income,License Revenue,Direct,low
TXN-0023,2024-05-22,License Revenue #023,39353.97,income,License Revenue,Direct,low
TXN-0024,2024-03-27,Consulting #024,38453.78,income,Consulting,Direct,low
